# The format of each line is
# <NearAS,  NearBR,  FarAS,  DstPrfx>|(FarIPs)
<AS6939, lon2, AS60800, 91.210.100.0/24>|(185.1.104.48, 195.66.227.84)
<AS6939, lon2, AS62044, 165.225.82.0/24>|(195.66.226.190, 195.66.226.170)
<AS6939, lon2, AS62955, 8.42.112.0/24>|(195.66.227.75, 185.1.104.43)
<AS6939, lon2, AS64049, 49.45.5.0/24>|(195.66.225.188, 195.66.226.133)
<AS6939, lux1, AS8632, 192.160.22.0/24>|(188.93.171.18, 188.93.170.18)
<AS6939, lux1, AS56665, 31.204.88.0/24>|(188.93.171.20, 188.93.170.20)
<AS6939, man1, AS714, 17.0.109.0/24>|(185.1.101.24, 185.1.101.25)
<AS6939, man1, AS8075, 104.44.238.0/24>|(195.66.244.82, 195.66.244.116)
<AS6939, man1, AS54113, 104.156.80.0/24>|(195.66.244.135, 195.66.244.125)
<AS6939, man1, AS203568, 185.130.156.0/24>|(195.66.244.101, 185.1.101.36)
<AS6939, mia1, AS1916, 200.17.4.0/24>|(198.32.243.84, 206.41.108.51)
<AS6939, mia1, AS2635, 192.0.66.0/24>|(198.32.243.144, 206.41.108.90)
<AS6939, mia1, AS6057, 2.22.28.0/24>|(198.32.242.222, 198.32.243.78)
<AS6939, mia1, AS8075, 104.44.238.0/24>|(198.32.242.189, 198.32.242.188, 206.41.108.25)
<AS6939, mia1, AS10310, 216.115.103.0/24>|(198.32.243.174, 206.41.108.22, 198.32.242.115, 206.41.108.84)
<AS6939, mia1, AS13030, 193.47.153.0/24>|(198.32.242.169, 206.41.108.28)
<AS6939, mia1, AS13335, 108.162.211.0/24>|(198.32.243.60, 206.41.108.18)
<AS6939, mia1, AS13414, 104.244.40.0/24>|(198.32.243.67, 198.32.243.114)
<AS6939, mia1, AS13489, 104.77.198.0/24>|(206.41.108.24, 198.32.124.172)
<AS6939, mia1, AS15169, 108.177.103.0/24>|(206.41.108.12, 198.32.242.133, 198.32.243.196, 206.41.108.95)
<AS6939, mia1, AS16509, 13.32.115.0/24>|(198.32.242.193, 198.32.243.232, 206.41.108.16, 206.41.108.136)
<AS6939, mia1, AS22356, 177.190.97.0/24>|(198.32.242.175, 206.41.108.42)
<AS6939, mia1, AS23114, 209.91.216.0/24>|(206.41.108.47, 198.32.242.237)
<AS6939, mia1, AS23520, 23.249.136.0/24>|(209.51.168.70, 216.66.15.254)
<AS6939, mia1, AS27589, 199.59.94.0/24>|(206.41.108.34, 198.32.242.159)
<AS6939, mia1, AS32787, 62.172.140.0/24>|(206.41.108.27, 198.32.243.207)
<AS6939, mia1, AS33132, 204.238.236.0/24>|(198.32.242.213, 206.41.108.40)
<AS6939, mia1, AS33724, 8.6.240.0/24>|(206.41.108.38, 198.32.242.250)
<AS6939, mia1, AS36640, 204.2.21.0/24>|(198.32.243.210, 198.32.243.211)
<AS6939, mia1, AS46489, 192.108.239.0/24>|(206.41.108.58, 206.41.108.57, 198.32.243.220)
<AS6939, mia1, AS54113, 104.156.80.0/24>|(206.41.108.76, 206.41.108.75)
<AS6939, mia1, AS62955, 74.120.181.0/24>|(206.41.108.117, 198.32.243.239)
<AS6939, mia1, AS199524, 5.8.25.0/24>|(198.32.243.133, 206.41.108.115)
<AS6939, mil2, AS1267, 192.5.97.0/24>|(217.29.66.179, 217.29.66.9)
<AS6939, mil2, AS8075, 104.44.238.0/24>|(194.116.96.88, 217.29.66.112)
<AS6939, mil2, AS8220, 37.34.68.0/24>|(217.29.66.68, 194.116.96.3)
<AS6939, mil2, AS8816, 185.183.7.0/24>|(185.1.114.83, 185.1.114.3)
<AS6939, mil2, AS10310, 188.125.88.0/24>|(185.1.106.39, 185.1.106.40)
<AS6939, mil2, AS12637, 217.168.231.0/24>|(217.29.66.86, 185.1.114.2)
<AS6939, mil2, AS13335, 162.158.196.0/24>|(185.1.114.25, 185.1.106.23)
<AS6939, mil2, AS15169, 108.177.10.0/24>|(217.29.66.96, 194.116.96.60)
<AS6939, mil2, AS22822, 208.111.184.0/24>|(194.116.96.66, 217.29.66.61)
<AS6939, mil2, AS26415, 192.58.128.0/24>|(217.29.66.20, 194.116.96.46)
<AS6939, mil2, AS28929, 195.47.199.0/24>|(185.1.115.19, 194.116.96.153)
<AS6939, mil2, AS31263, 195.182.227.0/24>|(185.1.114.67, 185.1.114.65)
<AS6939, mil2, AS31638, 185.77.161.0/24>|(185.1.115.41, 194.116.96.164)
<AS6939, mil2, AS39120, 89.189.52.0/24>|(217.29.66.157, 217.29.66.236)
<AS6939, mil2, AS44444, 85.115.39.0/24>|(194.116.96.53, 217.29.66.126)
<AS6939, mil2, AS49289, 45.81.64.0/24>|(185.1.114.47, 185.1.115.16)
<AS6939, mil2, AS51185, 178.248.50.0/24>|(217.29.67.96, 217.29.66.102)
<AS6939, mil2, AS54113, 104.156.80.0/24>|(185.1.114.85, 185.1.114.87)
<AS6939, mil2, AS60772, 185.26.142.0/24>|(217.29.66.173, 217.29.66.144)
<AS6939, mil2, AS196983, 193.105.228.0/24>|(217.29.66.135, 194.116.96.69)
<AS6939, mil2, AS202276, 136.228.219.0/24>|(184.104.200.94, 184.104.200.90)
<AS6939, mrs1, AS3303, 45.85.96.0/24>|(37.49.232.48, 185.1.47.36)
<AS6939, mrs1, AS8075, 104.44.238.0/24>|(37.49.232.14, 37.49.232.97)
<AS6939, mrs1, AS8966, 23.45.126.0/24>|(37.49.232.54, 185.1.47.61)
<AS6939, mrs1, AS10310, 188.125.90.0/24>|(37.49.232.52, 37.49.232.53)
<AS6939, mrs1, AS15169, 104.134.92.0/24>|(37.49.232.5, 185.1.47.3)
<AS6939, mrs1, AS22822, 208.111.184.0/24>|(37.49.232.34, 185.1.47.28)
<AS6939, mrs1, AS39405, 193.84.73.0/24>|(37.49.232.6, 185.1.47.18)
<AS6939, mrs1, AS62955, 74.120.181.0/24>|(185.1.47.51, 37.49.232.58)
<AS6939, msn1, AS16842, 205.196.146.0/24>|(184.105.249.154, 184.105.249.158)
<AS6939, msp1, AS10310, 216.115.103.0/24>|(206.108.255.59, 206.108.255.58)
<AS6939, msp1, AS54113, 104.156.80.0/24>|(206.108.255.73, 206.108.255.72)
<AS6939, nyc4, AS714, 17.0.109.0/24>|(198.32.118.183, 198.32.118.159)
<AS6939, nyc4, AS6128, 69.74.69.0/24>|(198.32.118.117, 198.32.118.17)
<AS6939, nyc4, AS10310, 216.115.103.0/24>|(198.32.118.24, 198.32.118.224)
<AS6939, nyc4, AS14630, 8.39.174.0/24>|(198.32.118.194, 198.32.118.49)
<AS6939, nyc4, AS22616, 165.225.41.0/24>|(198.32.118.226, 198.32.118.225)
<AS6939, nyc4, AS27566, 198.32.110.0/24>|(198.32.118.169, 198.32.118.168)
<AS6939, nyc4, AS46489, 192.108.239.0/24>|(198.32.118.209, 198.32.118.198)
<AS6939, nyc4, AS54113, 104.156.80.0/24>|(198.32.118.109, 198.32.118.104)
<AS6939, nyc4, AS54312, 199.38.167.0/24>|(198.32.118.195, 198.32.118.233)
<AS6939, nyc4, AS200981, 185.89.204.0/24>|(198.32.118.219, 198.32.118.220)
<AS6939, nyc5, AS714, 17.0.109.0/24>|(206.126.115.175, 206.126.115.67)
<AS6939, nyc5, AS33438, 151.139.18.0/24>|(206.126.115.82, 206.126.115.81)
<AS6939, nyc5, AS44356, 172.110.89.0/24>|(216.66.1.6, 216.66.24.74)
<AS6939, nyc6, AS46, 198.151.130.0/24>|(198.32.160.205, 206.82.104.114)
<AS6939, nyc6, AS714, 17.0.99.0/24>|(198.32.160.226, 198.32.160.227, 198.32.160.224, 198.32.160.225)
<AS6939, nyc6, AS3303, 91.198.58.0/24>|(198.32.160.176, 206.82.104.222)
<AS6939, nyc6, AS4258, 207.66.184.0/24>|(206.82.104.43, 198.32.160.67)
<AS6939, nyc6, AS6079, 199.184.165.0/24>|(198.32.160.132, 206.82.104.145)
<AS6939, nyc6, AS6774, 195.234.24.0/24>|(206.82.104.84, 198.32.160.202)
<AS6939, nyc6, AS8075, 13.107.14.0/24>|(198.32.160.199, 206.82.104.133)
<AS6939, nyc6, AS11383, 216.150.156.0/24>|(198.32.160.162, 206.82.104.159)
<AS6939, nyc6, AS13030, 193.47.153.0/24>|(206.82.104.4, 198.32.160.103)
<AS6939, nyc6, AS13335, 8.31.160.0/24>|(198.32.160.195, 206.82.104.31)
<AS6939, nyc6, AS13768, 216.187.90.0/24>|(198.32.160.65, 206.82.104.51)
<AS6939, nyc6, AS13786, 207.135.208.0/24>|(206.82.105.4, 198.32.160.93)
<AS6939, nyc6, AS14413, 144.2.12.0/24>|(206.82.104.32, 198.32.160.122)
<AS6939, nyc6, AS14537, 5.62.84.0/24>|(198.32.160.117, 206.82.104.34)
<AS6939, nyc6, AS15133, 72.21.81.0/24>|(206.82.104.40, 198.32.160.14, 198.32.160.115)
<AS6939, nyc6, AS15169, 8.8.8.0/24>|(198.32.161.20, 198.32.160.130, 206.82.104.41, 206.82.104.202)
<AS6939, nyc6, AS17113, 68.171.152.0/24>|(206.82.104.160, 198.32.160.161)
<AS6939, nyc6, AS17378, 66.206.202.0/24>|(198.32.160.163, 206.82.104.158)
<AS6939, nyc6, AS21949, 199.20.59.0/24>|(206.82.104.53, 198.32.160.190, 198.32.161.19)
<AS6939, nyc6, AS22822, 69.28.180.0/24>|(206.82.104.71, 198.32.160.134)
<AS6939, nyc6, AS29838, 74.91.14.0/24>|(206.82.104.19, 198.32.160.107)
<AS6939, nyc6, AS33353, 100.42.98.0/24>|(206.82.104.83, 198.32.160.140)
<AS6939, nyc6, AS46450, 142.154.196.0/24>|(206.82.104.82, 198.32.160.124, 206.82.104.113)
<AS6939, nyc6, AS54113, 23.235.32.0/24>|(198.32.160.62, 198.32.160.22)
<AS6939, nyc6, AS54825, 192.80.8.0/24>|(198.32.160.147, 206.82.104.38)
<AS6939, pao1, AS2152, 130.150.102.0/24>|(198.32.176.15, 198.32.251.69)
<AS6939, pao1, AS10310, 216.115.103.0/24>|(198.32.176.135, 198.32.176.148)
<AS6939, pao1, AS13414, 104.244.41.0/24>|(198.32.176.124, 198.32.176.123)
<AS6939, pao1, AS16509, 205.251.194.0/24>|(198.32.176.36, 198.32.176.217)
<AS6939, pao1, AS46489, 23.160.0.0/24>|(198.32.176.232, 198.32.176.32)
<AS6939, par2, AS714, 17.0.109.0/24>|(37.49.237.179, 195.42.145.189, 37.49.237.176)
<AS6939, par2, AS2200, 91.236.25.0/24>|(195.42.145.38, 37.49.236.19)
<AS6939, par2, AS2486, 192.93.0.0/24>|(37.49.236.21, 195.42.144.153)
<AS6939, par2, AS5410, 193.178.138.0/24>|(195.42.144.217, 37.49.236.63)
<AS6939, par2, AS6461, 63.249.63.0/24>|(195.42.144.13, 37.49.237.180)
<AS6939, par2, AS8218, 80.245.58.0/24>|(195.42.144.7, 37.49.236.1)
<AS6939, par2, AS8220, 129.41.90.0/24>|(37.49.236.58, 195.42.145.126)
<AS6939, par2, AS8304, 195.200.97.0/24>|(195.42.144.116, 37.49.236.153)
<AS6939, par2, AS8399, 185.50.52.0/24>|(37.49.236.72, 37.49.236.75)
<AS6939, par2, AS8426, 195.245.201.0/24>|(195.42.144.30, 37.49.236.61, 37.49.236.60)
<AS6939, par2, AS8554, 195.234.46.0/24>|(195.42.144.64, 37.49.236.49)
<AS6939, par2, AS8784, 194.153.214.0/24>|(37.49.236.33, 195.42.144.81)
<AS6939, par2, AS9036, 212.85.135.0/24>|(37.49.236.104, 195.42.144.97)
<AS6939, par2, AS10310, 87.248.104.0/24>|(37.49.237.5, 195.42.145.133)
<AS6939, par2, AS13335, 162.159.0.0/24>|(37.49.237.49, 195.42.144.143)
<AS6939, par2, AS13414, 104.244.42.0/24>|(37.49.237.71, 37.49.237.70)
<AS6939, par2, AS15169, 108.177.10.0/24>|(37.49.236.2, 195.42.145.65)
<AS6939, par2, AS15422, 193.104.231.0/24>|(195.42.144.107, 37.49.236.64)
<AS6939, par2, AS15547, 195.162.167.0/24>|(195.42.144.229, 37.49.236.156)
<AS6939, par2, AS16080, 80.89.122.0/24>|(37.49.237.15, 195.42.144.90)
<AS6939, par2, AS16128, 129.185.78.0/24>|(37.49.236.44, 195.42.144.124)
<AS6939, par2, AS16276, 46.105.198.0/24>|(37.49.236.144, 37.49.236.100, 195.42.144.186)
<AS6939, par2, AS16347, 109.237.245.0/24>|(37.49.236.36, 195.42.144.61)
<AS6939, par2, AS16509, 143.204.217.0/24>|(37.49.236.118, 37.49.237.166)
<AS6939, par2, AS20766, 193.23.30.0/24>|(37.49.236.190, 195.42.145.64)
<AS6939, par2, AS22822, 69.28.143.0/24>|(37.49.236.38, 195.42.144.26)
<AS6939, par2, AS24904, 185.73.234.0/24>|(37.49.236.105, 195.42.144.220)
<AS6939, par2, AS29075, 91.217.234.0/24>|(37.49.236.205, 195.42.144.71)
<AS6939, par2, AS29467, 178.251.160.0/24>|(37.49.236.227, 195.42.145.24)
<AS6939, par2, AS29608, 80.245.57.0/24>|(195.42.144.74, 37.49.236.31)
<AS6939, par2, AS30781, 82.196.25.0/24>|(37.49.236.3, 195.42.144.82)
<AS6939, par2, AS31167, 217.171.27.0/24>|(37.49.236.107, 195.42.144.83)
<AS6939, par2, AS31328, 205.167.7.0/24>|(37.49.236.143, 195.42.144.235)
<AS6939, par2, AS31424, 185.246.200.0/24>|(37.49.237.69, 195.42.145.61)
<AS6939, par2, AS33835, 130.185.170.0/24>|(195.42.144.109, 37.49.236.8)
<AS6939, par2, AS34006, 91.151.58.0/24>|(37.49.236.14, 195.42.144.133)
<AS6939, par2, AS34019, 193.164.153.0/24>|(195.42.144.47, 37.49.236.71)
<AS6939, par2, AS34177, 194.4.10.0/24>|(195.42.144.63, 37.49.236.32)
<AS6939, par2, AS34863, 188.94.200.0/24>|(37.49.236.113, 195.42.144.241)
<AS6939, par2, AS35280, 185.160.11.0/24>|(195.42.145.114, 37.49.237.108)
<AS6939, par2, AS35625, 91.212.236.0/24>|(37.49.236.24, 195.42.144.43)
<AS6939, par2, AS35717, 193.36.45.0/24>|(37.49.236.69, 195.42.144.122)
<AS6939, par2, AS36236, 176.58.90.0/24>|(195.42.145.214, 37.49.236.112)
<AS6939, par2, AS39326, 194.0.77.0/24>|(195.42.144.129, 37.49.236.80)
<AS6939, par2, AS39405, 193.84.73.0/24>|(37.49.236.220, 195.42.145.188)
<AS6939, par2, AS39781, 193.227.107.0/24>|(37.49.237.173, 195.42.145.180)
<AS6939, par2, AS41405, 195.200.217.0/24>|(37.49.236.202, 195.42.145.121)
<AS6939, par2, AS43142, 185.8.64.0/24>|(37.49.236.111, 195.42.144.219)
<AS6939, par2, AS43858, 91.198.199.0/24>|(195.42.145.43, 37.49.237.98)
<AS6939, par2, AS43930, 185.194.164.0/24>|(37.49.237.124, 37.49.237.125)
<AS6939, par2, AS44444, 85.115.44.0/24>|(195.42.144.31, 37.49.236.119)
<AS6939, par2, AS46489, 192.108.239.0/24>|(37.49.237.26, 37.49.237.25)
<AS6939, par2, AS49463, 46.21.114.0/24>|(195.42.145.115, 37.49.236.145)
<AS6939, par2, AS49544, 185.179.201.0/24>|(195.42.145.235, 37.49.237.230)
<AS6939, par2, AS50032, 193.164.220.0/24>|(37.49.236.138, 195.42.144.113)
<AS6939, par2, AS54113, 104.156.81.0/24>|(195.42.145.132, 195.42.145.131)
<AS6939, par2, AS57119, 185.64.150.0/24>|(195.42.144.136, 37.49.236.117)
<AS6939, par2, AS57976, 103.198.32.0/24>|(195.42.145.55, 37.49.236.53)
<AS6939, par2, AS59842, 91.220.245.0/24>|(37.49.237.146, 37.49.237.210)
<AS6939, par2, AS62044, 165.225.79.0/24>|(37.49.237.105, 37.49.237.88)
<AS6939, par2, AS198551, 185.195.248.0/24>|(37.49.237.11, 195.42.145.35)
<AS6939, par2, AS199483, 91.209.103.0/24>|(37.49.237.109, 195.42.145.152, 37.49.237.120)
<AS6939, par2, AS199660, 185.7.65.0/24>|(37.49.236.46, 195.42.145.5)
<AS6939, par2, AS202140, 91.236.153.0/24>|(195.42.145.62, 37.49.237.87)
<AS6939, pdx1, AS10310, 68.142.248.0/24>|(198.32.195.111, 198.32.195.112)
<AS6939, pdx1, AS46489, 192.108.239.0/24>|(198.32.195.122, 198.32.195.121)
<AS6939, prg1, AS5610, 81.90.168.0/24>|(91.210.16.160, 91.210.16.161)
<AS6939, prg1, AS8075, 13.107.14.0/24>|(91.210.16.115, 91.213.211.214)
<AS6939, prg1, AS13335, 162.159.1.0/24>|(91.213.211.102, 91.210.16.171)
<AS6939, prg1, AS15169, 108.177.10.0/24>|(91.210.16.211, 91.213.211.170)
<AS6939, prg1, AS15962, 194.1.185.0/24>|(91.213.211.186, 91.213.211.187)
<AS6939, prg1, AS21430, 77.78.68.0/24>|(91.213.211.26, 91.210.16.28, 91.210.16.27)
<AS6939, prg1, AS24806, 193.105.157.0/24>|(91.210.16.166, 91.210.16.165)
<AS6939, prg1, AS24971, 83.223.52.0/24>|(91.210.16.85, 91.213.211.14, 91.210.16.86)
<AS6939, prg1, AS25192, 194.0.12.0/24>|(91.210.16.3, 91.210.16.13)
<AS6939, prg1, AS25248, 193.32.56.0/24>|(91.210.16.205, 91.210.16.206, 91.213.211.132)
<AS6939, prg1, AS35592, 208.64.33.0/24>|(91.210.16.34, 91.210.16.33)
<AS6939, prg1, AS39392, 185.203.84.0/24>|(91.213.211.100, 91.213.211.101)
<AS6939, prg1, AS43037, 77.75.74.0/24>|(91.210.16.195, 91.210.16.194)
<AS6939, prg1, AS43541, 185.115.1.0/24>|(91.210.16.152, 91.210.16.151)
<AS6939, prg1, AS46489, 192.108.239.0/24>|(91.210.16.67, 91.213.211.116, 91.210.16.68, 91.213.211.117)
<AS6939, prg1, AS47232, 195.26.25.0/24>|(91.213.211.22, 91.213.211.23)
<AS6939, prg1, AS48417, 195.210.15.0/24>|(91.210.16.179, 91.210.16.178)
<AS6939, prg1, AS198605, 195.74.76.0/24>|(91.210.16.199, 91.210.16.198)
<AS6939, prg1, AS199524, 92.38.146.0/24>|(91.210.16.223, 91.213.211.19)
<AS6939, prg1, AS201730, 194.33.17.0/24>|(91.210.16.79, 91.210.16.80)
<AS6939, rix1, AS35407, 80.233.251.0/24>|(195.246.227.130, 195.246.227.2)
<AS6939, sea1, AS714, 17.0.120.0/24>|(198.32.134.57, 198.32.134.65)
<AS6939, sea1, AS4258, 207.66.184.0/24>|(206.81.80.49, 206.81.80.241)
<AS6939, sea1, AS6456, 208.90.170.0/24>|(206.81.82.10, 206.81.83.41)
<AS6939, sea1, AS6507, 192.64.169.0/24>|(198.32.134.60, 206.81.81.42, 206.53.171.17)
<AS6939, sea1, AS8075, 104.44.238.0/24>|(206.81.80.68, 206.53.171.13, 206.81.80.30)
<AS6939, sea1, AS10310, 216.115.103.0/24>|(198.32.134.35, 198.32.134.66, 206.81.81.50, 206.81.80.98)
<AS6939, sea1, AS11924, 12.160.248.0/24>|(206.81.83.45, 206.81.81.45)
<AS6939, sea1, AS13335, 108.162.210.0/24>|(198.32.134.61, 206.81.81.10)
<AS6939, sea1, AS13414, 104.244.40.0/24>|(206.81.83.31, 206.81.81.31)
<AS6939, sea1, AS15133, 72.21.81.0/24>|(65.49.44.150, 192.16.54.93)
<AS6939, sea1, AS19207, 208.93.51.0/24>|(198.32.134.86, 198.32.134.87)
<AS6939, sea1, AS19679, 108.160.164.0/24>|(206.81.81.112, 198.32.134.54)
<AS6939, sea1, AS32590, 205.196.6.0/24>|(198.32.134.56, 206.81.80.246, 206.81.81.197)
<AS6939, sea1, AS46435, 74.118.16.0/24>|(206.81.81.43, 206.81.83.43)
<AS6939, sea1, AS46489, 192.108.239.0/24>|(206.81.83.55, 206.81.81.55, 206.81.81.54, 206.81.83.54)
<AS6939, sea1, AS54113, 104.156.80.0/24>|(206.81.81.72, 206.81.81.71)
<AS6939, sea1, AS57976, 24.105.31.0/24>|(198.32.134.68, 206.81.81.122)
<AS6939, sin1, AS714, 17.0.109.0/24>|(103.41.12.19, 103.16.102.118, 103.16.102.114, 103.41.12.14)
<AS6939, sin1, AS4817, 210.10.13.0/24>|(74.82.51.62, 74.82.51.66)
<AS6939, sin1, AS8075, 104.44.238.0/24>|(198.32.141.141, 103.231.152.101, 103.16.102.23)
<AS6939, sin1, AS10310, 27.123.39.0/24>|(103.41.12.30, 103.231.152.41, 103.16.102.105, 103.16.102.37)
<AS6939, sin1, AS13335, 162.158.43.0/24>|(103.16.102.93, 103.231.152.33)
<AS6939, sin1, AS15133, 152.195.196.0/24>|(103.41.12.11, 103.231.152.116)
<AS6939, sin1, AS15169, 108.177.103.0/24>|(198.32.141.140, 103.41.12.7, 103.231.152.35, 103.16.102.64)
<AS6939, sin1, AS18403, 1.52.6.0/24>|(103.16.102.85, 103.231.152.103)
<AS6939, sin1, AS20940, 23.50.232.0/24>|(103.41.12.18, 103.16.102.77)
<AS6939, sin1, AS38195, 27.122.115.0/24>|(103.16.102.76, 103.41.12.26)
<AS6939, sin1, AS41095, 45.116.8.0/24>|(103.231.152.62, 103.162.254.94)
<AS6939, sin1, AS46489, 192.108.239.0/24>|(103.41.12.31, 103.41.12.32)
<AS6939, sin1, AS54113, 104.156.80.0/24>|(103.16.102.135, 103.16.102.136)
<AS6939, sin1, AS55818, 119.110.115.0/24>|(103.16.102.61, 103.231.152.16)
<AS6939, sin1, AS56308, 45.125.23.0/24>|(103.16.102.60, 103.16.102.171)
<AS6939, sin1, AS132167, 43.224.85.0/24>|(184.104.208.106, 184.104.208.114, 184.104.208.102, 184.104.208.110)
<AS6939, sin1, AS199524, 92.223.117.0/24>|(103.16.102.193, 103.231.152.34, 103.41.12.35)
<AS6939, sin1, AS200597, 185.32.77.0/24>|(27.50.33.218, 27.50.33.219)
<AS6939, sjc2, AS10310, 68.142.248.0/24>|(206.223.116.16, 206.223.116.150)
<AS6939, sjc2, AS13414, 104.244.41.0/24>|(206.223.116.101, 206.223.116.94)
<AS6939, sjc2, AS16509, 13.35.121.0/24>|(206.223.116.177, 206.223.116.236)
<AS6939, sjc2, AS22518, 199.116.167.0/24>|(206.223.116.79, 206.223.116.78)
<AS6939, sjc2, AS25751, 64.156.167.0/24>|(206.223.116.46, 206.223.116.128)
<AS6939, sjc2, AS33438, 209.197.6.0/24>|(206.223.116.51, 206.223.116.52)
<AS6939, sjc2, AS40526, 206.16.32.0/24>|(206.223.116.249, 206.223.116.173)
<AS6939, sjc2, AS50837, 31.171.254.0/24>|(216.218.212.106, 216.218.212.107)
<AS6939, sjc2, AS54113, 104.156.80.0/24>|(206.223.116.69, 206.223.116.70)
<AS6939, sjc2, AS54588, 198.32.105.0/24>|(206.223.116.148, 206.223.116.116)
<AS6939, sjc2, AS60653, 8.29.198.0/24>|(216.218.227.222, 64.62.194.90)
<AS6939, sjc2, AS63440, 192.76.120.0/24>|(206.223.117.18, 206.223.116.110)
<AS6939, sjc2, AS198018, 8.35.179.0/24>|(206.223.116.200, 206.223.116.229)
<AS6939, slc1, AS46489, 192.108.239.0/24>|(149.112.13.29, 149.112.13.32)
<AS6939, sof1, AS13335, 162.159.0.0/24>|(185.1.40.27, 193.169.198.68, 193.218.0.70, 91.212.235.40)
<AS6939, sof1, AS15169, 108.177.10.0/24>|(91.212.235.30, 185.1.40.15, 193.218.0.88, 193.218.0.90)
<AS6939, sof1, AS31287, 46.55.252.0/24>|(193.169.198.140, 193.169.198.141, 193.218.0.154)
<AS6939, sof1, AS31293, 194.150.116.0/24>|(193.169.198.155, 193.169.198.154)
<AS6939, sof1, AS43205, 78.128.115.0/24>|(91.212.235.8, 193.169.198.224, 185.1.30.33)
<AS6939, sof1, AS57344, 130.185.229.0/24>|(217.174.157.120, 217.174.157.111)
<AS6939, sof1, AS199364, 193.91.11.0/24>|(185.1.30.29, 217.174.157.21)
<AS6939, sof1, AS200533, 185.117.82.0/24>|(216.66.87.34, 216.66.87.35)
<AS6939, sto1, AS714, 17.0.109.0/24>|(194.68.128.9, 185.1.107.29, 185.1.107.30, 194.68.123.9)
<AS6939, sto1, AS1257, 80.73.176.0/24>|(194.68.128.21, 194.68.123.21)
<AS6939, sto1, AS2116, 77.223.160.0/24>|(194.68.123.149, 194.68.128.149)
<AS6939, sto1, AS2119, 91.220.217.0/24>|(195.69.119.158, 195.245.240.158, 194.68.128.158, 194.68.123.158)
<AS6939, sto1, AS2635, 192.0.66.0/24>|(194.68.123.63, 194.68.128.63)
<AS6939, sto1, AS2686, 15.24.137.0/24>|(194.68.128.44, 194.68.123.44)
<AS6939, sto1, AS3216, 37.146.121.0/24>|(194.68.128.151, 194.68.123.151)
<AS6939, sto1, AS3292, 5.182.128.0/24>|(195.69.119.41, 195.245.240.41, 194.68.123.41, 194.68.128.41)
<AS6939, sto1, AS3303, 91.198.58.0/24>|(194.68.123.116, 194.68.128.116)
<AS6939, sto1, AS3327, 62.128.126.0/24>|(195.245.240.164, 194.68.128.164, 195.69.119.164, 194.68.123.164)
<AS6939, sto1, AS5400, 77.72.239.0/24>|(194.68.128.109, 194.68.123.109)
<AS6939, sto1, AS6667, 192.136.73.0/24>|(192.121.80.213, 194.68.128.136, 194.68.123.136)
<AS6939, sto1, AS8075, 104.44.238.0/24>|(194.68.128.181, 194.68.123.181, 195.69.119.181, 195.245.240.181)
<AS6939, sto1, AS8220, 91.223.206.0/24>|(194.68.128.104, 194.68.123.104)
<AS6939, sto1, AS8359, 62.220.43.0/24>|(194.68.128.161, 194.68.123.161)
<AS6939, sto1, AS8674, 194.146.105.0/24>|(194.68.128.172, 195.245.240.73, 195.69.119.172, 194.68.123.73)
<AS6939, sto1, AS8896, 91.223.85.0/24>|(193.110.13.114, 192.121.80.170)
<AS6939, sto1, AS9002, 45.8.229.0/24>|(194.68.128.157, 194.68.123.157)
<AS6939, sto1, AS9201, 192.121.27.0/24>|(195.245.240.162, 195.69.119.162)
<AS6939, sto1, AS10310, 188.125.88.0/24>|(192.121.80.94, 192.121.80.93, 185.1.107.40, 194.68.123.30)
<AS6939, sto1, AS12389, 109.236.235.0/24>|(194.68.128.182, 194.68.123.182)
<AS6939, sto1, AS12552, 193.182.157.0/24>|(194.68.123.92, 195.69.119.92, 195.245.240.92, 194.68.128.92)
<AS6939, sto1, AS12578, 195.13.201.0/24>|(195.245.240.177, 195.69.119.177, 194.68.128.177, 194.68.123.177)
<AS6939, sto1, AS12597, 62.80.200.0/24>|(192.121.80.173, 193.110.13.90, 194.68.128.247, 194.68.123.247)
<AS6939, sto1, AS12714, 31.40.10.0/24>|(194.68.128.58, 194.68.123.58, 195.69.119.58, 195.245.240.58)
<AS6939, sto1, AS13189, 192.71.28.0/24>|(194.68.123.138, 193.110.13.69, 194.68.128.138)
<AS6939, sto1, AS13194, 84.15.112.0/24>|(194.68.128.211, 194.68.123.211, 195.69.119.211, 195.245.240.211)
<AS6939, sto1, AS13335, 108.162.228.0/24>|(192.121.80.23, 193.110.13.152, 194.68.123.246, 185.1.107.22)
<AS6939, sto1, AS13414, 104.244.41.0/24>|(194.68.128.229, 194.68.123.229, 195.245.240.229, 195.69.119.229)
<AS6939, sto1, AS15169, 104.134.92.0/24>|(109.239.137.237, 109.239.137.233, 185.1.107.48, 178.18.225.42)
<AS6939, sto1, AS15830, 64.30.151.0/24>|(192.121.80.207, 185.1.107.2, 185.1.107.1)
<AS6939, sto1, AS16086, 193.143.73.0/24>|(192.121.80.248, 192.121.80.54)
<AS6939, sto1, AS22822, 208.111.184.0/24>|(194.68.128.167, 194.68.123.167)
<AS6939, sto1, AS24429, 47.246.44.0/24>|(194.68.123.28, 195.245.240.28, 194.68.128.28, 195.69.119.28)
<AS6939, sto1, AS29518, 185.166.234.0/24>|(194.68.128.148, 194.68.123.148)
